#1
float HeatingLoadProfiles(52561,10)
# time,bld1 (W),bld2 (W),bld3 (W),bld4 (W),bld5 (W),bld6 (W),bld7 (W),bld8 (W),District (W)
22787400,1065.250366,1065.250366,1065.250366,1065.250366,1065.250366,1065.250366,1065.250366,1065.250366,8522.00293
22788000,1033.494019,1033.494019,1033.494019,1033.494019,1033.494019,1033.494019,1033.494019,1033.494019,8267.952148
22788600,1005.185852,1005.185852,1005.185852,1005.185852,1005.185852,1005.185852,1005.185852,1005.185852,8041.486816
22789200,979.7051392,979.7051392,979.7051392,979.7051392,979.7051392,979.7051392,979.7051392,979.7051392,7837.641113
22789800,956.6482544,956.6482544,956.6482544,956.6482544,956.6482544,956.6482544,956.6482544,956.6482544,7653.186035
22790400,935.678894,935.678894,935.678894,935.678894,935.678894,935.678894,935.678894,935.678894,7485.431152
22791000,916.4911499,916.4911499,916.4911499,916.4911499,916.4911499,916.4911499,916.4911499,916.4911499,7331.929199
22791600,898.8422241,898.8422241,898.8422241,898.8422241,898.8422241,898.8422241,898.8422241,898.8422241,7190.737793
22792200,882.498291,882.498291,882.498291,882.498291,882.498291,882.498291,882.498291,882.498291,7059.986328
22792800,867.1922607,867.1922607,867.1922607,867.1922607,867.1922607,867.1922607,867.1922607,867.1922607,6937.538086
22793400,852.7254028,852.7254028,852.7254028,852.7254028,852.7254028,852.7254028,852.7254028,852.7254028,6821.803223
22794000,839.0227661,839.0227661,839.0227661,839.0227661,839.0227661,839.0227661,839.0227661,839.0227661,6712.182129
22794600,826.2594604,826.2594604,826.2594604,826.2594604,826.2594604,826.2594604,826.2594604,826.2594604,6610.075684
22795200,815.0419922,815.0419922,815.0419922,815.0419922,815.0419922,815.0419922,815.0419922,815.0419922,6520.335938
22795800,807.2377319,807.2377319,807.2377319,807.2377319,807.2377319,807.2377319,807.2377319,807.2377319,6457.901855
22796400,803.9432373,803.9432373,803.9432373,803.9432373,803.9432373,803.9432373,803.9432373,803.9432373,6431.545898
22797000,803.9372559,803.9372559,803.9372559,803.9372559,803.9372559,803.9372559,803.9372559,803.9372559,6431.498047
22797600,805.5632935,805.5632935,805.5632935,805.5632935,805.5632935,805.5632935,805.5632935,805.5632935,6444.506348
22798200,806.9991455,806.9991455,806.9991455,806.9991455,806.9991455,806.9991455,806.9991455,806.9991455,6455.993164
22798800,806.352356,806.352356,806.352356,806.352356,806.352356,806.352356,806.352356,806.352356,6450.818848
22799400,801.7608643,801.7608643,801.7608643,801.7608643,801.7608643,801.7608643,801.7608643,801.7608643,6414.086914
