Time_Te,Te,Time_Ns,Ns,Time_Ia,Ia,Time_KW,KW
0.055108133,150.0344292,0.447436631,1366.1358,0.137,-66.49013948,0.544312963,4.810227517
0.056137493,142.487803,0.452218039,1378.305136,0.138,-67.69906522,0.552900362,4.755372282
0.056137493,135.4163347,0.454612094,1380.094744,0.139,-61.21420398,0.561173203,4.567890554
0.057122098,127.7299562,0.461790908,1389.758628,0.14,-49.67606479,0.566206111,4.643513436
0.057122098,120.658488,0.464183008,1394.053688,0.141,-29.40430202,0.578662557,4.571041508
0.057166853,113.4193169,0.471364335,1400.496278,0.142,-7.237320797,0.591873939,4.50830889
0.058061949,105.8167898,0.47375811,1402.643808,0.143,13.61388708,0.607727598,4.420846061
0.058106703,98.52171779,0.4818965,1410.518084,0.144,37.77001117,0.637925042,4.429248604
0.058151458,91.28254673,0.48429223,1410.160162,0.145,54.24872518,0.663215402,4.408452311
0.058599006,83.76387101,0.492432575,1415.528987,0.146,69.95081688,0.699452336,4.410342883
0.059046554,76.52469995,0.494825513,1418.750282,0.147,77.40770068,0.723610292,4.410342883
0.059091309,69.00602423,0.502966974,1422.68742,0.148,77.68926751,0.73568927,4.415069314
0.059189769,61.87306495,0.505361308,1424.119107,0.149,71.03490819,0.759847226,4.391437163
0.059977453,54.24817745,0.514461228,1427.698323,0.15,56.0333386,0.793358002,4.369030383
0.060075914,46.86925406,0.516856121,1428.414166,0.151,39.7901894,,
0.060075914,39.49033066,0.528831699,1430.561696,0.152,16.56438726,,
0.060896418,32.07724559,0.531704564,1432.709226,0.153,-6.97148411,,
0.061060519,24.73248388,0.540328187,1432.709226,0.154,-28.70385684,,
0.061060519,17.66101564,0.543202728,1432.709226,0.155,-48.09587465,,
0.061946664,9.728672991,0.55182635,1432.709226,0.156,-62.39725842,,
0.062045124,2.903168855,0.554699216,1434.856756,0.157,-71.18008124,,
0.062783578,-4.475754535,0.56428046,1435.572599,0.158,-72.24270061,,
0.063522032,-17.69632561,0.567153884,1437.004286,0.159,-65.76205125,,
0.064292593,-12.20223591,0.575778065,1436.288443,0.16,-52.71851318,,
0.065983545,-6.627940524,0.578652047,1437.004286,0.161,-33.52121774,,
0.066923396,0.27582492,0.580568407,1437.004286,0.162,-13.42875031,,
0.067022851,7.685804386,0.58823385,1437.004286,0.163,9.66617727,,
0.067788655,14.99640441,0.5906293,1437.004286,0.164,29.60827363,,
0.067952755,22.27284275,0.599732013,1437.004286,0.165,52.10629885,,
0.068116856,29.5492811,0.602606554,1437.004286,0.166,64.44553976,,
0.0688389,37.03068953,0.611229618,1437.720129,0.167,71.97824649,,
0.068937361,44.40961293,0.614104717,1437.004286,0.168,72.84130491,,
0.068982115,51.64878398,0.616021077,1437.004286,0.169,64.26676125,,
0.06979889,59.09059592,0.623686519,1437.004286,0.17,51.49679979,,
0.069921966,73.92530649,0.62656106,1437.004286,0.171,33.25969402,,
0.069921966,66.5463831,0.636142863,1437.004286,0.172,11.85895711,,
0.070414269,81.15050231,0.639017404,1437.004286,0.173,-10.74255954,,
0.070906571,88.68315327,0.647641026,1437.004286,0.174,-32.53089119,,
0.070951326,95.92232432,0.650515567,1437.004286,0.175,-50.62574762,,
0.071398874,103.1335449,0.652430252,1439.151816,0.176,-66.90377309,,
0.071891176,110.5124683,0.66105555,1437.004286,0.177,-74.39820047,,
0.071989637,117.5839365,0.66393009,1437.004286,0.178,-74.55294927,,
0.072821081,125.4069618,0.672553154,1437.720129,0.179,-69.04486747,,
0.072920536,132.202031,0.675428253,1437.004286,0.18,-53.69880301,,
0.073805686,139.5498983,0.677342939,1439.151816,0.181,-39.44807243,,
0.075583446,144.4862614,0.685010056,1437.004286,0.182,-17.42092637,,
0.076769448,137.7362235,0.687884597,1437.004286,0.183,4.130603944,,
0.076868903,130.3262441,0.6974664,1437.004286,0.184,26.61612772,,
0.077798808,123.1181291,0.70034094,1437.004286,0.185,47.2912888,,
0.077843562,115.878958,0.708964563,1437.004286,0.186,58.85886776,,
0.078738658,108.22053,0.711839103,1437.004286,0.187,66.95435971,,
0.078783413,101.2888141,0.721420906,1437.004286,0.188,67.18866587,,
0.079135057,93.82204634,0.724295447,1437.004286,0.189,60.38075617,,
0.079768018,86.83842242,0.732918511,1437.720129,0.19,49.07452456,,
0.079768018,78.84458875,0.73579361,1437.004286,0.191,29.57155969,,
0.080014169,72.38803078,0.737708295,1439.151816,0.192,10.4342246,,
