"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.72274757812E+005,  0.36279161621E+001,  0.30258864386E-004,  0.00000000000E+000,  0.31895940457E-006,  0.48476607385E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72274804688E+005,  0.36279123399E+001,  0.30258832339E-004,  0.00000000000E+000,  0.31895906697E-006,  0.48476556022E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72274898438E+005,  0.36279046947E+001,  0.30258768238E-004,  0.00000000000E+000,  0.31895839170E-006,  0.48476453284E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72275085938E+005,  0.36278893996E+001,  0.30258639997E-004,  0.00000000000E+000,  0.31895704073E-006,  0.48476247745E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72275460938E+005,  0.36278587810E+001,  0.30258383275E-004,  0.00000000000E+000,  0.31895433629E-006,  0.48475836285E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72275472656E+005,  0.36278578241E+001,  0.30258375253E-004,  0.00000000000E+000,  0.31895425177E-006,  0.48475823427E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72275496094E+005,  0.36278559103E+001,  0.30258359206E-004,  0.00000000000E+000,  0.31895408273E-006,  0.48475797708E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72275542969E+005,  0.36278520821E+001,  0.30258327109E-004,  0.00000000000E+000,  0.31895374460E-006,  0.48475746265E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72275636719E+005,  0.36278444239E+001,  0.30258262899E-004,  0.00000000000E+000,  0.31895306817E-006,  0.48475643352E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72275824219E+005,  0.36278290985E+001,  0.30258134404E-004,  0.00000000000E+000,  0.31895171454E-006,  0.48475437407E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72276199219E+005,  0.36277984097E+001,  0.30257877095E-004,  0.00000000000E+000,  0.31894900390E-006,  0.48475025006E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72276949219E+005,  0.36277368748E+001,  0.30257361160E-004,  0.00000000000E+000,  0.31894356875E-006,  0.48474198091E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72277699219E+005,  0.36276751894E+001,  0.30256843965E-004,  0.00000000000E+000,  0.31893812032E-006,  0.48473369158E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72277705078E+005,  0.36276747075E+001,  0.30256839924E-004,  0.00000000000E+000,  0.31893807776E-006,  0.48473362682E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72277716797E+005,  0.36276737436E+001,  0.30256831843E-004,  0.00000000000E+000,  0.31893799262E-006,  0.48473349729E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72277740234E+005,  0.36276718157E+001,  0.30256815678E-004,  0.00000000000E+000,  0.31893782234E-006,  0.48473323821E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72277787109E+005,  0.36276679593E+001,  0.30256783344E-004,  0.00000000000E+000,  0.31893748171E-006,  0.48473271998E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72277880859E+005,  0.36276602441E+001,  0.30256718657E-004,  0.00000000000E+000,  0.31893680026E-006,  0.48473168321E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72278068359E+005,  0.36276448047E+001,  0.30256589207E-004,  0.00000000000E+000,  0.31893543656E-006,  0.48472960845E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72278443359E+005,  0.36276138912E+001,  0.30256330016E-004,  0.00000000000E+000,  0.31893270609E-006,  0.48472545427E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72279193359E+005,  0.36275519410E+001,  0.30255810603E-004,  0.00000000000E+000,  0.31892723430E-006,  0.48471712939E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72279199219E+005,  0.36275514570E+001,  0.30255806545E-004,  0.00000000000E+000,  0.31892719155E-006,  0.48471706435E-009,  0.00000000000E+000,  0.00000000000E+000
